Designator,Mid X,Mid Y,Rotation,Layer
J21,123.23,-146.19675,0.0,top
J22,94.98,-140.69,0.0,top
J23,105.905,-146.975,0.0,top
J24,117.855,-107.0,90.0,bottom
J25,69.84,-143.025,180.0,bottom
J3,62.6,-3.45,0.0,top
J4,84.735,-3.45,0.0,top
J5,106.87,-3.45,0.0,top
J6,129.005,-3.45,0.0,top
L1,52.23,-24.15,0.0,top
L2,102.18,-24.225,0.0,top
L3,52.18,-51.925,0.0,top
L4,101.94,-51.635,0.0,top
L6,52.23,-94.85,0.0,top
L7,102.02,-94.9075,0.0,top
L8,52.18,-121.6,0.0,top
L9,102.18,-122.225,0.0,top
Q1,17.68,-135.29,0.0,top
R1,30.666496,-2.646146,90.0,top
R10,95.96,-7.84,270.0,top
R100,105.77,-136.855,0.0,top
R101,114.93,-136.65,90.0,top
R102,117.24,-136.66,90.0,top
R103,119.323911,-136.467797,90.0,top
R104,64.21,-138.03,180.0,top
R105,130.88,-138.183334,0.0,top
R106,5.73,-139.315,270.0,top
R107,8.33,-139.31,270.0,top
R108,71.955,-138.354,180.0,top
R109,64.19,-140.67,0.0,top
R11,136.424341,-7.423594,0.0,top
R110,109.83,-140.76,270.0,top
R111,68.14,-141.53,0.0,top
R112,71.955,-141.53,180.0,top
R113,84.459159,-142.207955,180.0,top
R114,64.19,-143.28,0.0,top
R12,48.21,-8.61,270.0,top
R13,45.73,-14.4,90.0,top
R14,95.68,-14.475,90.0,top
R15,45.73,-19.15,90.0,top
R16,95.68,-19.225,90.0,top
R17,45.73,-23.4,90.0,top
R18,95.69,-23.425,90.0,top
R19,53.12,-30.72,180.0,top
R2,52.801496,-2.616146,90.0,top
R20,53.12,-33.94,0.0,top
R21,103.33,-33.95,0.0,top
R23,48.79,-36.23,180.0,top
R24,45.68,-42.175,90.0,top
R25,95.64,-42.18,90.0,top
R26,95.64,-46.3175,90.0,top
R27,45.68,-46.925,90.0,top
R28,45.68,-51.175,90.0,top
R29,95.635,-51.115,90.0,top
R3,74.936496,-2.566146,90.0,top
R30,102.94,-56.57,270.0,top
R36,134.130307,-62.77,90.0,top
R38,126.049815,-64.595002,90.0,top
R39,128.069938,-64.595002,90.0,top
R4,97.071496,-2.596146,90.0,top
R43,98.62169,-66.110691,0.0,top
R44,103.080684,-66.110691,180.0,top
R45,60.955,-67.15,0.0,top
R46,98.62169,-67.940691,0.0,top
R47,103.120684,-67.950691,0.0,top
R48,98.62169,-69.770691,0.0,top
R49,103.120684,-69.800691,0.0,top
R5,119.206496,-2.616146,90.0,top
R50,98.62169,-71.600691,0.0,top
R51,103.130684,-71.600691,180.0,top
R52,103.130684,-73.410691,0.0,top
R55,128.030243,-73.562498,90.0,top
R56,130.050366,-73.5375,90.0,top
R59,116.387,-74.885595,180.0,top
R6,141.466496,-2.696146,270.0,top
R60,123.989997,-75.3875,90.0,top
R61,126.01012,-75.3875,90.0,top
R66,45.73,-85.1,90.0,top
R67,95.62,-85.2075,90.0,top
R68,45.73,-89.85,90.0,top
R69,95.62,-89.645,90.0,top
R7,28.69,-7.07,0.0,top
R70,45.73,-94.1,90.0,top
R71,95.52,-94.0825,90.0,top
R72,101.58,-99.7075,270.0,top
R73,103.555735,-99.7075,270.0,top
R74,53.305,-100.65,0.0,top
R75,97.02,-100.8275,0.0,top
R76,53.43,-103.15,180.0,top
R77,98.29,-108.63,0.0,top
R78,45.68,-111.85,90.0,top
R79,95.68,-112.475,90.0,top
R8,73.35,-7.06,0.0,top
R80,45.68,-116.6,90.0,top
R81,95.68,-117.225,90.0,top
R82,45.679293,-120.84978,90.0,top
R83,95.68,-121.475,90.0,top
R84,46.405,-127.9,0.0,top
R85,49.98,-127.9,0.0,top
R86,95.73,-130.5,270.0,top
R87,64.232899,-132.632169,180.0,top
R88,71.94,-133.32,180.0,top
R89,99.705,-133.3,270.0,top
R9,117.63,-7.05,0.0,top
R90,114.93,-133.35,90.0,top
R91,117.24,-133.34,270.0,top
R92,121.968197,-132.529509,0.0,top
R93,125.68,-132.529509,180.0,top
R94,130.88,-132.683334,180.0,top
R95,92.243666,-133.975,90.0,top
R96,130.88,-134.516667,180.0,top
R97,64.23,-135.331084,180.0,top
R98,130.88,-136.35,0.0,top
R99,71.955,-136.496,180.0,top
SW1,69.95,-147.73,180.0,top
U1,17.58,-8.35,0.0,top
U10,53.62,-38.13,270.0,top
U11,97.33,-38.9,180.0,top
U12,49.47,-46.025,0.0,top
U13,99.4575,-45.8175,0.0,top
U14,47.16,-57.725,90.0,top
U15,51.629999,-57.74,90.0,top
U16,119.37,-63.81,0.0,top
U17,75.23,-69.025,270.0,top
U18,109.886022,-68.547228,180.0,top
U19,49.52,-88.95,0.0,top
U2,36.98,-8.35,0.0,top
U20,99.3875,-89.0,0.0,top
U21,47.48,-108.132525,270.0,top
U22,49.47,-115.7,0.0,top
U23,99.47,-116.325,0.0,top
U24,98.705,-129.075,90.0,top
U25,86.055,-133.975,180.0,top
U26,109.821675,-133.641,90.0,top
U27,95.718,-134.833,0.0,top
U28,68.06,-135.4,270.0,top
U29,123.928852,-135.410819,270.0,top
U3,62.93,-8.35,0.0,top
U30,78.98,-136.95,270.0,top
U31,109.895,-137.035,0.0,top
U32,111.353072,-148.424751,0.0,top
U33,33.045,-140.81,0.0,top
U34,52.115,-140.81,0.0,top
U4,84.03,-8.35,0.0,top
U5,128.255,-8.35,0.0,top
U6,103.53,-8.45,0.0,top
U7,49.52,-18.25,0.0,top
U8,99.47,-18.325,0.0,top
U9,97.33,-34.650001,180.0,top
Y1,92.741219,-65.01178,180.0,top
Y2,80.566276,-144.16,270.0,top
ZZ0,8.013,-36.345999,270.0,top
ZZ1,41.943,-36.346,270.0,top
ZZ10,108.013,-106.849,270.0,top
ZZ11,141.943,-106.849,270.0,top
ZZ2,8.013,-106.846,270.0,top
ZZ3,41.943,-106.846,270.0,top
ZZ4,58.013,-36.3485,270.0,top
ZZ5,91.943,-36.3485,270.0,top
ZZ6,58.013,-106.8475,270.0,top
ZZ7,91.943,-106.8475,270.0,top
ZZ8,108.017,-36.3505,270.0,top
ZZ9,141.947,-36.3505,270.0,top
